start,stop,speaker
0.5,7.8,SPEAKER_01
9.1,9.1,SPEAKER_01
9.1,13.6,SPEAKER_00
13.9,14.4,SPEAKER_01
15.3,21.2,SPEAKER_00
21.5,22.1,SPEAKER_01
22.0,22.0,SPEAKER_00
23.0,25.2,SPEAKER_00
25.6,25.9,SPEAKER_01
26.1,33.3,SPEAKER_00
34.6,44.3,SPEAKER_00
40.7,40.9,SPEAKER_01
44.9,49.0,SPEAKER_00
50.5,50.7,SPEAKER_01
52.2,54.2,SPEAKER_01
52.5,66.4,SPEAKER_00
66.8,67.3,SPEAKER_01
67.4,71.0,SPEAKER_00
72.7,83.1,SPEAKER_00
84.6,90.3,SPEAKER_00
90.3,90.6,SPEAKER_01
91.7,95.7,SPEAKER_01
96.8,96.9,SPEAKER_01
96.9,105.2,SPEAKER_00
107.2,119.1,SPEAKER_00
119.3,119.7,SPEAKER_01
120.5,125.6,SPEAKER_00
126.9,127.2,SPEAKER_00
127.0,127.3,SPEAKER_01
128.3,129.7,SPEAKER_01
131.0,133.8,SPEAKER_00
134.0,134.1,SPEAKER_01
134.5,134.9,SPEAKER_00
136.0,143.4,SPEAKER_00
144.8,147.5,SPEAKER_00
148.9,150.2,SPEAKER_00
151.4,154.5,SPEAKER_00
155.8,165.3,SPEAKER_00
166.3,178.9,SPEAKER_00
178.4,186.6,SPEAKER_01
182.8,183.0,SPEAKER_00
186.6,186.7,SPEAKER_00
187.2,187.3,SPEAKER_01
187.3,188.4,SPEAKER_00
188.7,188.9,SPEAKER_01
193.4,194.7,SPEAKER_01
194.7,194.9,SPEAKER_00
196.4,208.3,SPEAKER_00
209.7,212.8,SPEAKER_00
214.0,229.6,SPEAKER_00
226.5,226.5,SPEAKER_01
230.4,231.8,SPEAKER_00
233.2,243.3,SPEAKER_00
237.8,237.8,SPEAKER_01
243.6,244.5,SPEAKER_01
244.7,252.0,SPEAKER_00
253.4,257.5,SPEAKER_00
258.7,270.3,SPEAKER_00
274.2,277.8,SPEAKER_01
279.5,287.7,SPEAKER_01
289.1,289.1,SPEAKER_01
289.1,291.1,SPEAKER_00
290.9,291.8,SPEAKER_01
291.8,314.5,SPEAKER_00
316.1,317.0,SPEAKER_01
317.0,352.7,SPEAKER_00
353.8,354.3,SPEAKER_00
355.5,365.7,SPEAKER_00
366.8,371.7,SPEAKER_00
372.5,372.8,SPEAKER_01
372.6,373.5,SPEAKER_00
373.5,377.9,SPEAKER_01
377.9,391.8,SPEAKER_00
392.8,406.4,SPEAKER_00
392.9,393.2,SPEAKER_01
407.2,413.5,SPEAKER_00
413.5,413.6,SPEAKER_01
414.3,414.3,SPEAKER_00
414.3,417.2,SPEAKER_01
418.2,425.8,SPEAKER_01
425.8,433.2,SPEAKER_00
434.8,440.4,SPEAKER_00
441.5,445.9,SPEAKER_00
448.3,449.2,SPEAKER_00
451.9,458.4,SPEAKER_00
457.9,459.8,SPEAKER_01
461.6,462.5,SPEAKER_01
461.9,477.0,SPEAKER_00
479.2,488.9,SPEAKER_01
480.9,481.4,SPEAKER_00
482.5,483.1,SPEAKER_00
488.9,500.4,SPEAKER_00
501.5,510.0,SPEAKER_00
510.1,510.6,SPEAKER_01
511.1,521.1,SPEAKER_00
522.7,526.3,SPEAKER_00
527.6,533.7,SPEAKER_00
534.8,542.7,SPEAKER_00
543.7,556.5,SPEAKER_00
556.8,557.2,SPEAKER_01
557.4,561.6,SPEAKER_00
562.7,571.7,SPEAKER_00
571.7,572.0,SPEAKER_01
573.5,575.6,SPEAKER_00
575.0,575.9,SPEAKER_01
576.3,577.7,SPEAKER_00
578.1,578.4,SPEAKER_01
578.6,592.1,SPEAKER_00
592.1,592.2,SPEAKER_01
594.1,596.9,SPEAKER_01
596.9,619.4,SPEAKER_00
620.2,620.5,SPEAKER_01
621.6,625.6,SPEAKER_01
625.0,631.7,SPEAKER_00
628.7,629.1,SPEAKER_01
632.6,634.7,SPEAKER_00
635.0,635.3,SPEAKER_01
635.5,655.3,SPEAKER_00
650.8,651.0,SPEAKER_01
655.9,656.5,SPEAKER_01
656.1,658.5,SPEAKER_00
660.5,661.9,SPEAKER_01
