start,stop,speaker
0.5,11.9,I
12.4,12.6,S
12.6,17.8,I
18.9,19.0,I
19.0,22.5,S
21.8,28.0,I
53.8,54.1,S
55.3,58.1,I
58.8,59.2,S
59.5,66.2,I
68.5,69.8,S
77.1,80.0,I
81.9,82.4,I
84.2,87.3,I
86.6,92.6,S
92.4,101.8,I
99.4,103.6,S
104.8,108.0,I
107.6,117.2,S
117.7,117.9,I
117.9,119.4,S
120.6,122.4,S
122.9,134.5,I
126.6,127.4,S
135.2,146.8,S
148.9,155.8,S
157.2,167.1,S
168.2,169.3,S
169.6,169.9,I
170.8,170.9,S
170.9,174.0,I
174.2,176.0,S
175.9,181.2,I
181.2,181.3,S
182.4,193.6,S
185.9,186.1,I
194.2,199.2,S
198.6,198.9,I
200.3,205.0,S
206.5,211.9,I
211.9,219.8,S
220.9,223.1,S
224.2,236.8,S
234.6,234.7,I
237.7,238.2,S
240.2,250.2,S
251.7,270.3,S
271.5,284.6,S
285.7,286.2,S
287.6,295.8,S
289.4,289.9,I
296.5,301.7,S
303.8,322.7,S
324.3,329.5,S
330.8,331.3,S
333.0,344.7,S
342.7,343.8,I
346.1,346.9,S
347.5,348.1,I
348.5,349.7,S
348.9,353.6,I
