start,stop,speaker
0.5,14.6,I
14.0,15.5,S
15.9,25.9,I
16.2,18.2,S
21.9,22.9,S
29.5,30.7,S
33.4,47.1,S
49.1,51.5,S
53.0,57.6,S
58.8,60.8,S
62.0,66.0,S
65.2,67.0,I
67.0,68.3,S
70.2,73.4,S
74.5,75.2,S
76.2,83.1,S
84.1,91.0,S
92.2,106.4,S
106.7,107.0,I
107.9,112.2,S
114.3,117.8,S
119.4,120.5,S
121.9,123.1,S
124.8,134.1,S
135.1,144.7,S
142.1,142.6,I
145.6,190.8,S
184.0,184.7,I
192.1,192.8,S
194.5,212.2,S
214.1,215.3,S
216.2,216.7,I
216.9,226.7,S
227.7,229.0,S
230.4,232.6,S
233.9,242.2,S
243.3,243.9,S
245.2,273.0,S
275.4,284.8,S
286.6,291.4,S
292.6,305.9,S
307.5,327.1,S
325.8,336.6,I
327.8,328.8,S
333.8,334.5,S
337.5,350.7,S
354.5,364.1,S
362.8,365.9,I
364.7,365.6,S
366.5,366.7,I
368.7,376.5,I
376.1,381.0,S
380.0,385.8,I
385.8,390.2,S
391.2,432.3,S
433.5,451.8,S
453.0,458.1,S
459.5,460.1,S
461.5,465.6,S
467.4,491.0,S
491.4,493.0,I
