start,stop,speaker
0.5,12.8,I
1.6,1.7,S
13.4,13.4,I
13.4,15.9,S
15.9,25.7,I
24.7,25.2,S
26.8,27.7,S
29.4,30.8,S
30.8,31.0,I
32.6,40.0,S
41.0,42.7,S
44.4,48.0,S
47.8,48.0,I
49.2,52.4,S
54.3,59.0,S
62.7,63.6,S
66.7,69.1,S
70.1,79.6,S
83.1,83.9,S
91.5,93.8,S
94.7,101.6,I
98.8,99.2,S
105.5,106.8,S
109.9,111.7,S
112.8,119.3,S
125.9,130.4,S
133.0,135.9,S
135.2,135.7,I
138.6,139.6,S
146.0,151.8,S
153.4,156.9,S
159.4,161.8,S
163.2,164.3,S
166.7,170.8,S
171.8,188.8,S
190.3,191.6,S
195.4,202.2,S
203.3,204.2,S
205.8,212.8,S
215.0,215.9,S
222.4,229.4,S
231.5,232.5,S
236.7,239.2,S
240.4,247.9,S
249.6,252.7,S
254.3,256.7,S
258.0,260.0,S
261.1,266.2,S
268.2,269.6,S
273.0,276.2,S
279.9,281.5,S
283.4,286.4,S
286.0,290.0,I
