start,stop,speaker
0.5,13.3,I
12.5,13.2,S
14.5,16.6,S
18.3,21.7,S
23.3,43.4,S
44.6,53.5,S
54.6,67.5,S
67.5,71.7,I
72.7,75.1,I
75.4,91.3,S
92.8,100.1,S
99.6,99.7,I
100.9,119.9,S
119.5,124.5,I
120.6,120.8,S
125.5,126.1,S
128.3,133.4,S
136.2,142.6,S
144.9,152.4,S
153.4,153.6,S
155.7,156.5,S
157.5,160.4,S
161.6,164.9,S
164.9,171.4,I
172.4,174.3,S
176.3,180.2,S
181.3,181.4,S
182.1,185.2,I
184.9,198.1,S
199.2,271.4,S
261.3,261.6,I
272.2,282.3,S
282.7,284.7,I
282.9,283.4,S
285.2,293.1,S
293.1,297.4,I
298.1,301.4,S
302.5,309.1,S
310.3,311.8,S
312.9,325.9,S
325.4,333.3,I
334.1,339.5,S
337.4,344.8,I
345.9,348.2,I
