start,stop,speaker
0.5,10.2,I
11.8,12.8,S
14.3,18.6,S
20.1,24.9,S
26.3,29.4,S
30.5,31.6,S
34.3,35.7,S
35.3,39.1,I
39.6,40.8,S
41.0,48.0,I
49.7,50.8,S
53.8,59.9,S
61.2,72.2,S
73.7,78.9,S
76.1,77.0,I
78.2,78.3,I
79.3,83.0,I
84.6,87.8,S
89.2,90.1,S
92.1,92.9,S
94.2,99.8,S
100.0,100.7,I
100.7,104.3,S
105.3,106.5,S
108.8,114.0,S
115.9,119.2,S
120.9,121.4,S
122.4,126.6,I
130.2,131.7,S
137.0,138.0,S
139.2,139.7,S
141.6,141.9,S
142.9,143.2,I
147.7,152.1,I
154.6,155.6,S
158.7,165.5,S
166.6,175.1,S
176.9,180.6,S
183.5,190.3,S
191.3,197.2,S
199.0,201.8,I
202.6,204.1,S
204.6,205.7,I
206.9,210.7,I
208.6,208.9,S
212.3,218.7,I
222.4,225.3,S
226.3,229.2,S
230.4,238.0,S
239.6,245.9,S
247.8,248.5,S
252.9,254.7,I
256.2,258.1,I
259.4,261.3,I
264.9,265.5,S
267.0,292.6,S
294.1,295.7,S
296.9,302.1,S
302.6,303.2,I
