start,stop,speaker
2.5,12.3,I
17.3,33.0,S
26.8,27.0,I
34.4,37.9,S
39.5,39.5,S
43.0,50.4,I
53.0,61.3,S
62.6,74.7,S
78.7,79.9,I
82.1,91.9,S
94.0,100.9,S
101.9,102.0,I
102.3,102.9,S
105.5,107.2,I
108.7,113.0,S
117.8,120.6,I
120.6,124.1,S
125.5,132.0,I
136.3,151.1,S
152.5,153.3,S
152.9,154.0,I
161.5,161.5,S
169.6,170.7,I
174.0,183.0,S
184.0,186.6,S
189.1,191.6,I
193.2,200.2,S
196.8,196.9,I
201.7,204.1,I
205.2,205.3,I
205.3,214.8,S
216.1,219.1,S
221.7,224.6,I
235.9,237.5,S
242.0,248.0,S
249.2,254.0,S
255.8,256.0,S
260.1,266.4,I
266.4,275.7,S
277.0,282.8,S
284.6,287.0,S
291.0,291.7,I
293.6,294.9,I
