start,stop,speaker
0.5,5.2,I
2.5,2.6,S
6.0,12.5,I
13.4,17.3,S
19.2,26.0,S
29.5,35.1,S
36.9,43.5,I
43.4,43.6,S
44.6,55.2,S
56.3,57.9,S
57.9,60.8,I
61.8,63.9,I
65.0,65.7,S
66.2,69.8,I
67.0,67.5,S
69.4,74.0,S
75.3,82.2,S
82.7,84.8,I
83.3,86.4,S
86.4,87.1,I
87.2,88.3,S
92.6,98.7,S
103.0,110.4,I
108.1,108.1,S
111.7,117.5,S
118.6,121.0,S
122.4,136.7,S
137.4,139.2,I
140.3,142.2,I
143.2,144.3,S
144.5,146.2,I
146.8,155.6,S
150.3,152.3,I
156.4,157.7,S
159.2,161.9,S
163.0,163.1,I
163.6,173.5,S
174.8,179.0,S
179.8,184.9,I
185.8,194.9,S
196.3,215.1,S
215.2,215.7,I
216.8,224.1,I
226.1,230.7,S
232.3,233.2,S
234.8,238.7,I
239.2,242.7,S
246.2,270.1,S
271.1,282.9,S
283.1,283.9,I
283.6,288.3,S
286.2,286.4,I
289.2,291.6,S
292.2,295.7,I
292.9,293.4,S
296.1,307.6,S
310.5,310.8,S
312.0,315.0,S
315.0,328.5,I
319.5,320.5,S
325.6,326.1,S
329.3,331.9,I
330.6,336.5,S
335.5,345.3,I
345.1,358.2,S
360.0,361.8,S
362.9,368.8,S
370.3,372.4,S
373.8,384.7,S
385.2,388.2,I
389.1,406.7,S
407.9,410.2,S
411.9,420.0,I
