start,stop,speaker
0.5,12.7,I
15.3,15.6,S
15.8,22.7,I
24.0,27.1,S
27.1,33.7,I
29.5,30.4,S
34.5,35.4,S
38.9,42.4,S
41.1,43.0,I
43.2,43.4,S
43.9,46.8,I
49.0,49.8,S
51.2,55.2,S
56.3,59.8,S
61.5,62.7,S
63.1,65.0,I
66.4,70.5,S
72.5,80.5,S
87.6,88.2,I
91.9,93.2,S
94.2,105.3,S
111.3,116.2,S
122.4,122.9,I
125.2,132.2,S
133.3,136.8,S
142.2,143.1,S
145.3,149.2,S
150.6,153.5,S
159.2,166.3,S
167.4,169.5,S
171.1,176.5,S
176.7,177.8,I
182.0,197.5,S
198.5,199.6,S
201.8,206.1,S
211.6,219.6,S
220.7,224.0,S
228.2,235.0,S
241.7,246.7,S
248.1,251.2,S
255.5,258.6,S
259.8,272.5,S
270.9,271.3,I
273.5,277.0,S
281.4,295.7,S
296.7,298.3,S
299.7,303.9,S
313.8,315.2,S
316.3,321.7,S
324.2,324.4,I
324.4,327.8,S
329.6,329.7,S
330.8,331.8,S
331.8,333.0,I
