start,stop,speaker
0.5,11.1,I
17.8,20.0,I
24.6,26.3,S
28.5,30.8,S
32.5,36.6,S
38.2,38.5,S
45.0,47.5,S
45.9,47.9,I
49.8,52.9,S
54.9,57.4,S
61.7,67.6,S
66.1,71.2,I
88.9,92.7,S
89.1,90.7,I
93.9,94.5,S
96.4,96.5,S
96.5,104.0,I
107.0,110.9,S
110.9,112.3,I
112.8,113.3,S
113.3,114.9,I
114.9,117.6,S
120.7,129.8,S
129.0,129.4,I
131.1,131.5,S
132.8,134.2,S
137.5,138.8,S
144.6,147.0,S
148.5,152.3,S
157.1,166.0,S
167.1,167.3,S
170.2,171.9,S
175.0,178.0,S
179.9,180.3,S
183.2,185.7,S
186.7,188.1,S
190.5,191.1,S
192.5,193.6,S
198.9,200.1,S
205.0,206.2,S
207.5,208.9,S
214.4,215.8,S
219.2,222.6,S
224.9,227.4,S
235.4,238.1,S
236.4,238.1,I
239.8,240.0,S
240.6,245.5,I
245.5,246.2,S
248.4,249.4,S
252.6,253.9,S
259.7,259.7,S
269.8,271.3,S
281.4,285.9,S
282.5,285.0,I
