start,stop,speaker
1.3,11.8,I
13.1,13.1,I
13.1,15.2,S
16.5,19.4,S
21.4,22.6,S
24.8,35.1,I
35.1,35.1,S
36.6,40.2,S
44.2,45.7,I
48.2,51.8,S
53.5,56.0,I
57.4,63.2,S
66.4,66.6,I
68.5,72.6,I
73.9,73.9,I
73.9,91.2,S
92.3,98.7,S
102.2,106.6,I
108.6,117.5,I
119.1,120.4,S
122.4,123.0,I
126.5,127.5,S
135.7,145.2,I
146.9,149.5,S
151.8,159.8,S
156.4,156.9,I
159.1,160.6,I
161.2,165.5,S
168.3,172.3,S
173.8,173.9,S
173.9,174.5,I
176.3,176.8,I
178.7,186.3,I
187.0,188.9,S
189.9,190.9,S
197.2,201.2,I
204.2,205.5,S
206.8,209.2,S
213.3,214.4,S
215.5,224.0,S
225.5,230.0,S
229.9,237.0,I
237.0,241.9,S
241.9,242.2,I
244.1,245.3,S
244.2,244.7,I
245.9,246.5,I
249.3,250.0,I
