start,stop,speaker
2.5,10.4,I
12.7,29.0,S
30.1,31.9,S
32.5,35.9,I
35.3,35.9,S
37.9,42.0,S
42.0,51.4,I
55.0,58.8,I
60.0,63.2,I
64.1,65.5,S
67.3,77.8,S
67.4,67.7,I
69.1,69.1,I
71.8,72.5,I
74.0,74.5,I
78.4,89.1,S
91.1,120.7,S
122.4,124.2,I
125.6,132.8,I
134.1,139.4,S
136.4,137.8,I
140.0,142.0,I
141.2,145.0,S
149.1,149.8,S
151.2,159.6,S
161.2,161.4,S
163.6,168.5,S
169.7,172.6,I
172.6,178.2,S
181.1,193.8,S
194.9,200.3,S
203.5,216.5,S
218.0,224.9,S
226.3,244.4,S
245.5,251.2,S
252.9,261.8,S
263.0,263.5,S
265.9,273.9,S
275.7,283.7,S
285.1,287.3,S
289.0,300.2,S
303.2,307.9,I
303.9,304.5,S
307.1,308.4,S
308.6,309.1,I
309.1,315.5,S
314.0,320.6,I
321.2,330.4,S
326.7,327.1,I
330.4,330.5,I
331.6,345.1,I
344.8,347.4,S
346.1,346.4,I
348.0,349.8,S
352.4,366.2,S
365.7,366.1,I
366.9,388.9,S
382.2,383.4,I
389.5,389.9,S
391.0,395.0,S
392.9,393.9,I
397.7,403.7,I
404.6,414.2,S
408.3,409.0,I
414.8,425.5,S
415.8,416.1,I
427.6,436.1,S
437.9,441.4,I
441.0,449.0,S
450.6,457.5,S
461.8,465.0,I
476.7,478.3,S
479.8,482.4,S
484.0,489.5,S
491.4,495.1,S
497.1,498.4,S
503.0,503.9,S
503.3,503.4,I
505.7,509.5,S
511.2,519.2,S
520.7,528.5,S
530.3,533.5,S
536.0,541.5,S
542.7,549.2,S
550.6,553.2,S
554.6,560.5,S
562.0,597.9,S
597.9,607.2,I
601.0,603.5,S
607.9,608.9,I
610.0,615.2,S
619.0,639.0,S
632.9,634.9,I
639.3,639.7,I
640.4,644.6,S
640.7,642.3,I
645.4,651.0,S
652.4,654.1,S
653.9,656.0,I
