start,stop,speaker
11.6,44.5,I
46.0,48.9,I
48.9,49.4,S
50.1,56.5,I
59.6,61.5,S
63.2,66.1,I
67.2,70.1,I
72.4,74.5,S
80.5,81.2,S
83.0,90.6,S
92.0,96.3,I
97.7,121.0,I
122.8,123.8,I
124.2,124.4,S
125.7,131.0,S
131.0,131.7,I
131.7,131.9,S
133.3,136.2,I
138.7,140.1,I
141.8,142.6,S
141.8,155.3,I
143.5,144.2,S
145.3,147.9,S
156.0,161.5,I
159.3,160.5,S
162.8,163.0,I
166.0,168.5,S
169.0,179.4,I
173.2,175.0,S
179.4,180.2,S
180.2,180.7,I
181.9,183.2,I
186.8,190.1,I
192.0,192.4,S
192.6,200.7,I
200.0,200.0,S
202.2,203.6,I
205.2,208.3,S
208.3,209.1,I
209.3,212.9,S
213.1,213.7,I
214.2,216.6,S
218.4,239.8,I
241.5,249.4,I
250.6,251.3,I
259.5,259.6,I
260.0,265.5,S
272.5,281.2,I
282.5,283.4,I
284.8,288.5,I
299.9,301.3,S
302.6,304.5,S
306.3,307.7,S
307.7,315.0,I
309.3,309.9,S
316.3,333.8,I
335.1,336.8,I
338.0,342.6,I
338.2,338.3,S
341.3,342.1,S
344.6,350.0,I
351.9,353.0,I
355.7,360.5,S
359.9,360.0,I
361.9,366.9,I
365.2,365.4,S
368.0,369.8,I
372.2,379.6,I
380.7,382.8,I
384.3,385.5,I
386.8,388.5,I
391.6,395.9,I
398.0,403.2,I
404.7,407.9,I
409.6,412.2,S
415.4,418.9,S
421.2,428.0,I
429.1,447.1,I
448.6,462.0,I
463.2,465.1,I
471.8,476.2,I
478.2,485.4,I
489.8,490.6,S
491.2,492.6,I
494.4,496.8,S
499.1,506.7,I
508.4,509.1,S
510.3,512.1,I
515.4,517.4,I
519.0,525.0,I
526.1,533.2,I
526.2,526.8,S
533.8,534.0,S
535.8,539.5,S
542.5,544.8,S
549.5,557.0,I
558.6,562.5,I
563.7,572.6,I
570.8,571.2,S
573.7,580.6,I
578.3,578.4,S
581.7,588.1,I
589.2,590.5,S
590.7,599.8,I
602.8,605.0,S
