start,stop,speaker
2.7,7.2,I
9.6,12.1,I
19.0,23.1,I
24.4,26.1,I
27.6,30.6,I
31.8,33.8,I
35.9,38.0,I
41.6,47.7,I
49.8,50.5,I
55.7,57.6,I
65.1,68.6,I
70.6,76.6,I
81.1,88.6,I
91.5,99.6,I
100.8,102.0,I
103.2,105.7,I
109.3,110.1,I
122.8,126.2,I
129.1,130.6,I
131.9,134.4,I
136.0,142.7,I
147.5,152.8,I
158.1,161.6,I
164.4,165.8,I
168.5,170.4,I
172.1,175.1,I
177.0,180.4,I
186.0,191.0,I
192.6,194.0,I
195.7,196.7,I
198.9,201.0,I
203.5,205.4,I
214.6,218.5,I
219.6,219.9,I
222.8,224.6,I
235.5,235.8,I
240.4,247.3,I
248.4,249.4,I
251.3,253.4,I
255.2,257.2,I
260.7,263.3,I
264.5,273.2,I
282.2,289.0,I
