start,stop,speaker
0.5,17.7,I
13.9,14.8,S
18.5,19.2,I
21.4,22.1,S
23.1,25.7,S
24.5,29.1,I
29.1,39.0,S
41.8,43.6,S
45.2,55.8,S
56.9,58.2,S
59.4,79.7,S
78.3,78.8,I
80.7,82.0,S
83.6,93.5,S
95.7,98.9,S
100.0,100.7,S
102.8,103.5,S
105.4,105.5,S
107.5,113.4,S
118.2,131.5,S
133.1,142.4,S
143.6,144.4,S
145.7,149.7,S
151.2,152.9,S
154.1,158.8,S
160.0,160.4,S
163.3,166.2,S
167.7,179.3,S
184.0,188.2,S
190.0,190.2,S
191.2,194.5,S
197.3,207.1,S
209.1,219.4,S
223.3,224.9,S
228.0,232.5,S
239.2,243.3,S
245.2,245.2,S
245.2,248.0,I
