start,stop,speaker
0.5,38.6,I
21.4,23.0,S
24.0,25.2,S
33.6,34.4,S
42.0,44.9,I
44.5,56.1,S
47.1,47.4,I
56.7,57.9,S
60.6,62.9,S
62.9,66.4,I
67.5,69.9,I
78.8,78.9,I
83.2,88.4,I
91.5,92.4,S
94.4,95.1,S
96.4,103.9,S
98.5,100.4,I
105.5,120.3,S
110.5,112.7,I
120.7,120.9,I
120.9,120.9,S
124.4,126.8,S
125.6,127.6,I
127.6,129.6,S
130.9,135.2,S
136.7,141.6,S
141.5,141.6,I
143.5,144.7,S
147.1,149.9,S
151.0,156.1,S
152.1,154.8,I
156.1,160.0,I
158.9,163.3,S
165.0,176.7,S
171.6,172.5,I
177.3,185.7,S
179.4,179.5,I
186.6,190.3,S
191.6,197.3,S
194.9,195.3,I
198.3,199.1,S
200.3,201.7,S
202.7,203.8,S
206.3,208.7,S
209.8,212.1,S
213.2,213.6,S
214.7,218.2,S
218.4,218.9,I
222.5,228.2,S
233.3,235.5,I
241.5,244.5,I
249.0,249.4,S
252.8,254.9,S
256.5,258.1,S
259.6,262.6,S
263.9,266.9,S
268.5,274.1,S
277.5,282.8,S
284.7,288.5,S
289.8,296.5,S
294.1,295.2,I
297.4,298.7,S
304.5,309.2,S
310.8,312.1,S
319.8,332.7,S
326.6,327.1,I
334.9,337.5,S
342.1,353.8,S
354.9,363.8,S
365.4,366.1,S
367.7,369.7,S
371.2,379.5,S
380.5,382.9,S
384.6,386.1,S
388.4,392.9,S
394.6,397.5,S
402.0,407.5,S
411.7,414.3,S
416.0,419.4,S
420.9,432.2,S
436.9,439.1,S
449.9,451.8,S
453.0,456.5,S
457.7,458.0,S
459.4,460.0,S
460.0,462.0,I
