start,stop,speaker
0.5,8.7,I
12.0,13.6,I
15.2,15.2,I
15.2,17.9,S
17.7,18.7,I
18.7,18.7,S
19.8,21.8,I
21.4,39.6,S
37.9,38.3,I
40.3,48.3,S
41.2,42.6,I
44.5,46.5,I
49.4,51.2,S
51.2,52.5,I
52.0,54.8,S
56.1,56.9,I
56.9,57.8,S
59.0,62.9,S
63.7,65.2,I
65.2,68.1,S
69.3,70.8,S
72.0,73.6,S
75.2,76.4,S
82.4,84.3,S
85.2,92.5,I
97.0,106.9,I
102.5,103.4,S
106.9,109.0,S
107.9,112.1,I
110.0,110.4,S
112.1,112.1,S
113.5,114.4,S
118.2,130.6,S
132.3,132.9,S
132.5,134.0,I
135.0,137.7,I
137.5,137.7,S
138.3,143.7,I
140.0,141.2,S
144.7,146.9,I
144.7,147.6,S
148.7,152.3,I
152.8,159.5,S
161.7,164.0,S
164.8,183.4,I
184.5,197.4,S
198.9,201.9,S
203.7,208.6,S
209.8,214.6,S
211.4,211.5,I
217.7,221.5,S
221.5,230.5,I
229.8,235.4,S
234.5,238.2,I
238.5,239.6,S
242.3,243.7,S
244.9,246.5,S
247.6,255.9,S
250.6,252.0,I
258.7,261.5,I
262.7,264.5,I
266.7,274.8,I
275.9,276.5,I
279.7,286.1,I
284.0,284.1,S
286.8,297.4,I
297.4,311.3,S
306.8,308.4,I
312.4,315.5,S
320.2,325.2,I
322.3,322.9,S
326.0,329.7,I
329.9,331.7,S
333.0,333.2,S
333.5,340.1,I
335.8,336.0,S
340.8,343.8,I
345.0,353.2,I
352.6,354.2,S
354.2,357.5,I
361.5,361.7,S
362.0,369.5,I
369.5,377.2,S
375.1,375.1,I
378.1,399.5,S
390.1,390.5,I
401.4,407.7,I
412.8,417.9,I
418.0,419.6,S
418.9,418.9,I
420.8,430.3,S
420.8,421.3,I
423.1,423.5,I
430.9,434.0,S
431.0,431.0,I
434.7,465.0,S
466.3,468.4,S
470.1,478.5,I
479.7,480.6,S
479.7,480.0,I
484.1,485.9,S
488.1,502.5,S
499.7,500.0,I
503.4,508.3,S
507.2,510.0,I
510.6,512.9,S
511.0,511.1,I
514.4,516.0,S
517.5,527.6,S
529.8,533.9,I
533.9,534.1,S
537.0,542.2,S
543.4,544.7,S
544.4,549.8,I
547.2,547.6,S
551.1,552.0,I
554.2,557.4,S
559.3,560.1,S
563.1,565.6,S
567.4,571.4,S
573.1,575.3,S
576.5,577.7,S
579.0,579.7,S
582.1,588.1,S
587.0,587.2,I
588.9,604.6,S
605.0,606.1,I
607.2,607.6,I
609.3,610.2,I
612.2,618.5,I
619.3,620.4,S
619.4,619.5,I
622.6,627.5,S
625.1,625.6,I
627.5,628.4,I
628.4,628.7,S
629.0,630.4,I
630.4,630.5,S
631.5,633.3,I
633.4,643.6,S
644.6,650.9,S
650.9,653.9,I
652.1,653.9,S
