start,stop,speaker
0.5,9.9,I
5.7,6.0,S
10.2,25.5,S
18.0,21.8,I
26.3,27.8,S
29.2,41.9,S
30.0,31.4,I
39.2,40.3,I
43.4,118.5,S
109.5,112.5,I
119.2,176.2,S
120.5,122.5,I
137.4,139.0,I
142.8,143.2,I
155.6,156.0,I
166.8,167.4,I
174.5,189.1,I
189.1,256.3,S
193.7,196.2,I
203.2,204.4,I
211.6,211.9,I
243.6,243.8,I
257.3,260.5,I
259.6,287.2,S
287.2,291.7,I
291.8,300.0,S
293.3,293.3,I
302.9,421.3,S
399.3,399.8,I
412.4,413.4,I
421.9,463.0,S
422.4,422.9,I
433.5,434.6,I
462.0,466.5,I
466.5,509.0,S
467.4,468.9,I
485.1,487.0,I
502.5,502.5,I
509.9,577.5,S
578.6,629.0,S
579.0,580.1,I
600.4,601.0,I
606.7,607.1,I
612.2,612.7,I
634.0,646.0,S
649.7,662.0,S
657.2,658.3,I
664.5,674.7,S
666.8,666.8,I
676.0,681.5,S
681.5,682.0,I
684.5,684.7,I
686.3,691.8,I
693.1,694.4,I
694.4,713.4,S
715.0,767.1,S
744.0,745.0,I
760.5,761.9,I
767.9,778.4,S
778.4,782.0,I
780.7,799.1,S
801.3,819.2,S
820.4,872.5,S
822.6,823.1,I
865.0,865.1,I
869.4,872.0,I
873.5,917.6,S
883.6,884.0,I
919.0,927.5,S
923.5,925.7,I
931.5,944.5,S
943.5,944.6,I
945.2,945.3,S
945.3,949.0,I
946.5,946.8,S
