start,stop,speaker
0.5,24.0,I
24.0,26.0,S
25.6,32.2,I
33.9,34.3,S
33.9,33.9,I
37.1,41.5,S
42.8,47.5,S
49.1,49.4,S
49.1,52.7,I
54.0,54.6,S
55.6,57.5,S
61.5,62.0,S
63.5,64.2,S
65.3,65.9,S
67.2,75.2,S
75.4,76.1,I
78.0,78.5,S
80.1,81.5,S
83.3,104.0,S
107.0,108.7,S
109.9,114.3,S
117.1,134.2,S
135.2,145.2,S
147.1,156.1,S
158.4,166.4,S
162.6,163.8,I
167.0,168.7,S
170.0,175.9,S
178.5,178.5,S
179.7,180.2,S
181.5,184.7,S
187.2,197.3,S
200.2,208.5,S
209.7,210.5,S
211.7,212.0,S
215.7,217.4,S
219.0,221.7,S
224.4,225.6,S
227.3,238.1,S
244.1,245.2,S
246.4,270.1,S
271.3,273.8,S
278.8,280.4,S
279.9,281.1,I
281.4,292.0,S
290.7,292.0,I
