start,stop,speaker
0.5,4.0,I
5.3,7.3,I
9.5,10.3,S
12.7,22.5,S
23.8,29.0,S
30.3,35.1,S
35.1,37.0,I
38.3,40.2,I
41.4,47.5,S
46.8,60.5,I
67.9,68.4,S
70.9,78.8,S
77.3,80.9,I
82.8,87.2,S
88.9,97.6,S
98.8,101.2,S
99.9,107.6,I
111.4,114.5,S
111.6,112.9,I
115.6,120.9,S
122.8,133.0,I
134.2,137.3,I
139.0,143.5,S
146.4,154.3,S
155.7,156.5,S
156.5,158.6,I
160.6,167.6,I
168.5,177.5,S
168.6,168.6,I
178.2,181.6,S
184.9,185.2,S
187.7,191.0,S
191.7,196.3,I
196.2,203.9,S
205.4,208.4,I
210.7,221.0,S
223.4,223.7,I
224.9,227.5,I
232.3,245.5,S
242.5,242.6,I
248.5,249.0,S
249.0,256.3,I
258.4,273.2,S
270.1,270.4,I
273.9,276.0,S
288.5,291.3,I
290.0,293.0,S
292.6,293.8,I
294.0,298.3,S
299.6,308.0,S
