start,stop,speaker
0.5,3.3,I
4.1,4.6,S
5.0,8.1,I
11.2,12.2,I
11.4,12.3,S
13.5,15.4,S
17.1,18.3,S
23.1,27.3,I
29.3,37.5,S
32.5,33.4,I
46.1,48.0,I
49.2,50.5,I
50.0,51.9,S
51.1,51.7,I
53.7,56.7,I
59.0,63.2,I
65.0,66.7,S
74.2,79.6,I
84.1,84.4,S
86.6,87.8,S
92.7,94.2,I
101.7,104.6,S
107.1,110.4,I
112.0,113.5,I
116.2,118.2,I
123.2,134.5,S
136.0,137.3,S
140.9,144.9,I
145.9,148.8,S
151.4,153.2,I
157.3,159.7,S
161.0,166.5,S
171.8,174.6,I
179.9,182.6,S
188.9,191.7,S
198.1,203.5,S
204.8,206.9,I
206.5,221.2,S
223.2,224.5,I
226.3,226.9,I
228.6,232.3,I
232.9,235.9,S
233.5,233.5,I
236.9,239.1,I
244.4,246.6,I
247.8,250.7,I
249.3,249.3,S
255.0,257.9,I
259.9,271.3,I
272.9,279.8,S
279.8,280.5,I
281.9,286.0,S
287.1,295.5,S
296.4,297.0,I
297.8,299.0,S
299.6,304.1,I
307.0,308.6,I
310.7,313.2,I
314.9,327.2,S
327.5,329.7,I
328.3,328.6,S
330.5,331.1,S
332.0,335.2,I
336.5,341.6,I
343.4,345.4,S
352.2,361.0,I
361.9,363.5,S
364.8,392.2,S
395.5,396.9,I
398.5,403.9,S
406.8,412.4,S
417.8,420.6,I
422.8,432.7,S
433.1,441.7,I
442.9,443.7,I
