start,stop,speaker
0.5,4.5,I
5.2,6.5,S
7.6,8.6,S
10.3,16.8,S
18.1,36.4,S
37.9,56.4,S
57.4,66.1,S
67.3,75.5,S
75.9,82.3,I
83.4,95.1,S
98.4,101.1,S
102.8,107.8,I
108.8,109.8,S
110.8,111.7,S
113.0,115.3,S
117.9,137.0,S
137.4,140.6,I
140.1,146.5,S
147.7,168.9,S
168.6,177.0,I
178.8,179.6,S
182.6,184.0,S
183.9,184.7,I
185.4,186.7,S
188.7,198.5,S
199.5,206.7,S
207.9,217.7,S
219.4,224.4,S
226.9,227.4,S
229.6,248.7,S
250.0,258.7,S
260.9,283.1,S
284.5,294.3,S
295.6,301.9,I
303.6,306.5,S
308.7,309.9,S
312.3,325.3,S
316.6,316.9,I
326.3,327.3,S
329.0,334.2,S
331.6,332.1,I
334.8,340.0,S
339.5,348.4,I
349.8,349.8,I
349.8,350.3,S
352.4,353.0,S
354.8,356.4,S
361.5,364.7,S
365.9,366.8,S
368.1,378.4,S
379.4,382.1,S
382.6,383.2,I
384.7,388.5,I
388.5,392.6,S
393.9,394.3,S
397.3,419.7,S
421.2,424.5,I
434.3,444.3,S
444.3,444.4,I
446.0,452.0,I
