start,stop,speaker
0.5,6.5,I
6.9,7.2,S
7.6,11.5,I
13.3,15.2,S
15.2,17.1,I
19.5,26.4,S
22.2,23.7,I
26.0,31.3,I
31.5,31.9,S
32.9,36.1,I
37.2,37.5,I
37.5,45.5,S
41.0,41.0,I
47.3,48.7,I
51.3,57.2,S
64.6,65.4,S
67.3,70.8,S
72.4,78.0,S
83.5,87.4,S
93.2,94.2,S
95.3,99.1,S
100.5,103.0,S
107.3,110.5,S
109.4,111.5,I
112.7,117.8,S
127.3,131.1,S
133.5,134.8,S
136.5,138.2,S
137.9,141.6,I
142.1,142.4,S
143.3,147.4,I
147.4,147.7,S
148.8,158.5,S
161.5,162.6,S
163.9,173.6,S
176.5,179.8,S
178.5,179.1,I
180.9,183.0,S
182.3,182.8,I
