start,stop,speaker
0.5,7.9,I
9.1,9.7,S
18.5,36.6,S
38.0,43.3,S
44.6,49.8,S
45.5,46.8,I
50.4,55.6,S
56.4,59.3,I
61.5,61.6,I
61.6,83.7,S
62.7,62.9,I
77.9,78.2,I
85.4,86.2,I
87.6,88.9,I
89.8,90.8,S
93.4,151.0,S
152.6,155.0,I
157.1,171.1,S
173.2,180.6,I
180.1,186.9,S
188.1,190.1,S
192.6,195.1,I
195.5,196.0,S
195.7,201.0,I
200.0,203.6,S
203.6,204.2,I
204.6,223.8,S
221.3,221.4,I
224.5,230.5,I
227.3,227.3,S
230.1,233.0,S
231.8,243.0,I
235.7,238.0,S
244.5,277.7,S
276.9,277.2,I
278.9,286.1,I
286.1,286.8,S
287.9,322.6,S
313.2,313.6,I
324.0,325.7,I
325.7,328.2,S
328.4,329.8,I
329.8,330.0,S
331.7,332.4,I
333.5,336.5,S
337.3,338.3,I
338.5,341.2,S
342.8,343.2,I
344.2,349.1,I
347.9,354.2,S
353.8,355.0,I
357.3,358.3,I
359.8,365.7,I
367.5,368.0,I
369.7,370.9,I
372.3,375.4,I
378.3,380.1,S
381.2,383.1,S
384.7,400.8,S
401.5,403.2,I
403.4,410.9,S
411.7,416.5,I
417.2,428.5,S
417.3,417.5,I
429.3,440.8,S
437.3,437.8,I
441.5,445.5,S
444.3,445.7,I
