start,stop,speaker
1.1,5.7,I
5.7,8.7,S
7.2,7.6,I
9.5,12.0,S
12.4,16.1,I
17.6,17.9,I
17.9,20.2,S
20.5,26.5,I
24.8,24.8,S
26.5,28.8,S
27.3,27.5,I
29.6,30.2,S
32.0,32.3,S
33.4,50.0,I
51.7,54.9,S
53.3,56.8,I
56.8,65.0,S
66.6,73.7,S
73.6,79.4,I
81.2,82.3,S
84.4,90.1,S
91.3,94.6,S
96.5,101.6,S
102.9,104.5,S
106.4,107.0,S
108.1,117.3,S
118.8,119.5,S
120.8,129.0,S
130.3,135.2,S
136.9,147.9,S
150.1,154.8,S
157.7,161.0,S
162.0,163.9,S
163.1,165.8,I
166.6,179.5,S
179.6,180.9,I
180.8,188.4,S
187.1,187.1,I
189.3,190.2,I
189.5,191.1,S
190.9,194.9,I
196.6,198.9,S
200.0,202.8,S
201.5,202.1,I
204.0,206.6,S
206.6,210.3,I
210.0,223.0,S
224.3,237.0,S
237.5,240.3,I
244.7,247.6,S
251.6,254.9,S
256.4,258.1,S
257.9,258.8,I
259.7,261.8,S
263.4,272.2,S
274.0,300.5,S
300.5,304.1,I
307.4,311.2,S
310.9,313.1,I
314.7,319.4,S
319.6,320.5,I
320.8,329.2,S
329.1,329.8,I
333.0,335.7,S
343.5,344.2,S
345.4,347.8,S
350.5,359.4,S
359.4,360.5,I
360.5,362.9,S
362.4,362.6,I
364.3,367.0,I
364.3,364.4,S
