start,stop,speaker
0.5,2.7,I
2.7,2.8,S
3.5,11.7,I
12.2,13.9,S
15.4,18.2,S
18.8,19.2,I
20.8,23.0,S
24.1,26.3,S
28.2,34.7,S
35.9,36.5,I
39.4,40.8,I
40.9,41.1,S
41.6,46.1,I
46.3,48.8,S
49.2,51.1,I
50.8,52.6,S
52.6,56.4,I
56.5,66.5,S
69.0,71.8,I
72.2,87.6,S
87.7,92.4,I
92.9,93.4,S
93.8,96.8,I
96.8,96.8,S
97.4,98.7,I
99.3,100.1,S
104.2,106.6,S
109.2,109.6,I
111.7,115.6,I
116.3,121.8,S
123.0,124.6,S
126.7,129.4,S
128.4,137.7,I
138.8,140.8,I
141.5,147.0,S
148.5,150.6,S
152.9,157.1,S
158.4,161.6,S
167.1,174.2,S
177.7,180.5,I
181.0,181.5,S
182.3,182.4,I
182.4,182.5,S
189.6,195.2,I
197.7,197.9,S
198.9,199.8,I
201.0,203.8,I
204.8,216.0,I
218.1,222.6,I
224.6,228.2,I
229.3,232.1,I
233.7,237.5,S
238.9,239.7,I
239.9,240.0,S
240.4,242.0,I
242.0,243.2,S
245.6,250.1,S
251.4,253.6,S
254.7,258.5,S
259.8,260.5,S
261.1,265.2,I
265.8,273.1,S
274.1,276.7,S
276.7,277.1,I
278.9,281.6,I
282.0,286.6,S
282.4,283.1,I
287.7,292.5,I
295.1,297.1,I
297.9,302.1,S
304.0,308.8,I
306.9,307.0,S
309.6,314.0,S
315.5,315.8,S
318.1,324.2,I
319.0,319.3,S
326.5,329.4,I
330.3,332.1,S
335.3,336.9,S
340.7,348.2,S
350.1,356.1,S
357.9,359.5,S
362.2,366.1,I
367.7,368.7,S
369.1,370.0,I
370.0,371.2,S
372.4,375.2,S
377.0,381.3,I
384.4,387.6,I
389.8,391.0,I
392.1,392.4,S
395.6,397.4,I
398.8,405.9,I
405.9,406.9,S
409.6,413.3,S
