start,stop,speaker
0.5,1.4,I
3.4,16.1,S
6.3,9.7,I
17.2,30.1,S
30.6,31.2,I
30.8,34.6,S
35.0,36.3,I
36.0,37.2,S
38.2,38.4,S
38.4,38.7,I
39.8,40.9,S
40.1,41.6,I
41.6,59.6,S
61.1,72.0,S
73.3,91.3,S
90.0,91.9,I
93.6,97.5,I
98.8,100.2,S
101.7,117.7,S
118.2,119.1,I
120.3,124.4,S
126.2,128.7,S
129.8,136.2,S
137.3,137.4,I
137.8,140.0,S
140.8,141.2,I
142.4,146.4,I
146.4,149.6,S
150.1,150.7,I
150.4,150.5,S
151.3,151.6,I
151.3,151.4,S
157.0,161.5,I
161.9,164.5,S
167.0,172.6,S
174.6,178.6,S
181.8,197.5,S
198.1,198.4,I
198.4,200.5,S
202.9,206.6,S
208.4,210.2,S
212.2,227.3,S
228.4,229.1,S
230.3,232.4,S
234.9,238.5,S
238.5,242.8,I
248.0,248.0,I
248.0,260.7,S
253.5,253.7,I
261.6,264.9,S
266.2,270.7,S
272.0,274.0,S
276.3,277.8,S
280.6,281.6,S
283.6,285.6,S
288.4,294.9,S
296.5,322.9,S
322.9,325.2,I
326.7,327.5,S
328.9,333.3,S
333.6,336.7,I
337.8,338.3,I
338.3,338.7,S
340.2,341.9,S
343.1,343.4,S
346.3,352.7,S
354.1,367.0,S
365.6,373.0,I
