start,stop,speaker
3.5,10.2,I
11.9,12.7,I
14.5,20.1,I
23.0,23.3,I
24.6,27.5,I
34.2,37.4,I
39.4,41.3,I
42.4,42.9,I
45.4,46.8,I
48.0,48.0,I
49.6,60.0,I
64.8,68.2,I
69.3,70.0,I
82.5,90.4,I
93.2,93.2,I
94.7,98.2,I
99.8,100.5,I
116.4,117.0,I
122.5,122.8,I
134.4,135.4,I
137.2,146.5,I
149.2,150.5,I
151.6,160.0,I
161.6,165.3,I
166.5,167.5,I
176.0,186.0,I
192.2,192.3,I
195.6,203.2,I
209.5,210.9,I
222.9,226.9,I
232.9,234.0,I
242.0,247.5,I
252.0,252.3,I
255.5,257.3,I
268.8,270.1,I
272.8,275.8,I
283.9,285.0,I
294.0,305.2,I
306.9,309.7,I
314.2,317.9,I
321.1,322.9,I
331.0,336.5,I
340.4,341.4,I
346.3,348.7,I
