start,stop,speaker
0.5,4.2,I
5.2,13.1,I
15.3,15.4,I
15.4,16.6,S
21.0,21.8,S
24.5,32.7,S
29.6,29.7,I
33.3,33.5,S
33.5,36.2,I
37.6,46.0,I
38.1,38.4,S
47.2,48.9,I
50.5,63.2,I
55.8,56.5,S
65.2,68.4,I
69.0,72.4,S
74.0,75.5,S
82.3,92.0,S
94.6,99.5,I
100.5,100.7,I
104.4,104.5,I
105.9,106.0,I
112.9,113.3,S
114.6,116.6,S
120.4,120.5,S
126.0,126.6,S
128.5,133.6,S
133.9,134.3,I
134.7,135.4,S
136.7,138.7,S
141.7,145.2,S
145.0,149.9,I
148.5,148.7,S
151.0,151.5,I
154.9,155.3,S
159.9,160.5,S
162.5,162.7,S
165.6,167.5,S
170.0,176.4,S
178.2,179.3,S
179.3,187.0,I
187.0,190.9,S
197.5,201.9,S
201.5,207.0,I
216.4,218.2,I
216.5,223.2,S
219.0,219.3,I
221.6,221.9,I
223.2,224.1,I
223.9,235.9,S
227.0,227.2,I
230.3,231.1,I
236.4,239.8,I
238.1,243.5,S
244.3,247.6,I
247.9,252.1,S
252.6,254.5,I
262.3,264.8,I
267.1,268.5,I
268.7,269.3,S
269.9,270.2,I
271.0,273.0,S
272.6,276.9,I
276.9,279.0,S
280.3,283.1,S
286.5,287.0,S
288.7,294.0,S
313.9,316.7,S
317.6,318.1,I
319.3,320.9,I
321.9,323.5,I
326.9,329.0,I
332.6,333.2,S
335.2,341.9,S
344.8,356.5,S
357.6,357.7,S
360.2,362.0,S
366.6,367.6,S
369.4,370.0,S
371.3,374.3,I
380.4,390.3,S
391.5,396.8,S
396.0,396.0,I
397.4,399.1,S
400.4,400.6,S
403.6,404.5,I
410.5,410.6,I
412.0,413.5,I
417.2,419.3,S
420.6,421.3,S
422.7,424.5,S
425.1,426.0,I
426.0,426.0,S
427.6,430.5,S
431.7,433.7,S
434.8,438.9,S
438.9,440.4,I
441.7,445.1,S
444.7,445.7,I
447.2,447.9,S
450.2,451.7,S
454.1,458.1,S
456.2,456.3,I
459.9,461.5,I
468.3,471.1,I
472.3,473.0,S
476.6,481.0,I
485.7,486.9,S
491.0,493.7,S
494.7,496.0,I
496.0,497.8,S
497.3,497.7,I
499.1,500.1,S
501.9,506.5,S
510.7,512.0,I
516.7,521.4,S
523.8,525.4,S
527.0,546.4,S
550.7,552.8,S
550.8,550.9,I
552.8,553.9,I
558.8,568.6,S
567.8,568.0,I
569.2,570.3,S
571.8,572.9,S
573.9,577.8,S
578.4,579.0,I
