start,stop,speaker
0.5,1.0,I
7.9,11.5,S
9.5,9.5,I
13.6,30.9,S
27.0,27.1,I
28.6,29.1,I
31.8,34.7,S
34.9,35.2,I
36.8,37.8,S
39.4,48.0,I
55.0,57.8,S
58.9,62.7,S
62.9,63.2,I
64.4,80.8,S
80.8,81.1,I
81.6,101.5,S
101.5,101.8,I
103.5,104.2,I
105.8,109.0,I
110.0,110.5,I
111.1,124.0,S
126.8,132.6,S
133.7,137.5,S
138.6,143.4,S
144.7,148.7,S
150.1,155.5,I
157.3,163.4,I
164.3,174.1,S
175.2,181.5,S
182.9,183.9,S
186.5,196.5,S
197.6,201.1,S
202.7,203.5,S
210.0,211.0,I
212.2,214.5,I
213.1,213.5,S
214.9,215.5,S
215.5,217.3,I
217.3,217.7,S
219.0,224.2,S
219.1,221.1,I
225.1,249.5,S
246.5,247.3,I
250.4,255.4,S
250.5,252.1,I
255.4,256.0,I
256.3,284.2,S
269.5,269.9,I
285.0,297.7,S
293.5,294.0,I
298.4,302.0,S
303.4,308.6,S
309.8,322.5,S
322.2,322.5,I
323.5,324.6,S
326.3,327.5,S
331.5,331.6,I
331.8,332.7,S
334.2,365.5,S
357.7,357.7,I
368.0,387.8,S
380.3,381.0,I
385.3,385.7,I
388.4,394.8,S
390.2,392.3,I
395.5,418.7,S
419.2,419.9,I
420.1,436.2,S
437.4,441.6,S
443.1,459.6,I
445.3,446.0,S
455.5,456.1,S
461.0,471.0,I
471.9,492.3,S
493.5,537.6,S
508.1,510.0,I
520.3,520.3,I
530.1,531.1,I
534.0,535.3,I
538.5,545.6,S
540.7,540.8,I
542.3,543.1,I
546.6,552.7,S
547.1,548.0,I
554.5,555.5,S
555.5,558.0,I
563.0,563.0,I
568.5,583.3,S
570.2,571.0,I
577.1,577.3,I
584.1,598.3,S
596.3,596.6,I
598.7,599.0,I
599.5,599.9,S
599.9,600.0,I
601.6,621.5,I
610.1,610.3,S
616.9,618.6,S
620.6,622.2,S
622.6,627.5,I
630.9,637.5,I
640.4,642.3,I
643.6,650.8,S
652.0,671.5,S
664.6,665.0,I
673.1,674.2,S
675.7,694.5,S
692.5,692.6,I
696.5,702.3,S
703.7,716.5,I
716.5,720.2,S
721.2,743.9,S
745.3,760.0,S
761.0,762.5,I
764.9,765.0,I
