start,stop,speaker
0.5,10.5,I
3.0,3.9,S
6.7,7.0,S
11.6,14.0,S
15.1,15.5,S
16.7,27.6,S
28.6,30.6,S
31.2,32.5,I
31.9,38.3,S
34.0,35.1,I
39.4,42.0,I
39.8,40.6,S
43.3,51.4,I
45.9,47.4,S
50.4,54.1,S
52.5,52.5,I
54.8,62.6,S
60.9,62.0,I
63.3,75.9,S
73.8,74.2,I
76.7,93.5,S
82.4,83.7,I
95.7,96.0,S
98.0,107.8,I
109.5,125.1,I
125.1,125.9,S
127.0,134.5,S
130.7,131.1,I
135.4,145.7,S
146.6,149.7,I
150.4,151.8,S
153.8,156.8,S
158.1,160.8,S
163.0,192.0,S
176.4,176.5,I
193.4,199.0,I
203.8,205.5,I
205.5,238.9,S
238.1,240.9,I
240.9,241.2,S
242.0,243.3,I
243.6,248.4,S
245.2,245.6,I
249.2,253.3,S
249.7,250.5,I
254.3,258.4,I
264.1,277.7,I
277.7,279.0,S
281.4,289.4,S
289.4,294.7,I
294.7,296.6,S
297.7,299.6,S
301.0,320.7,S
322.5,325.2,S
327.6,333.0,I
330.4,330.9,S
333.7,335.8,I
336.8,349.4,S
342.7,343.1,I
350.0,361.8,S
350.8,351.4,I
354.7,355.0,I
362.9,371.6,S
376.3,378.5,I
379.3,380.5,S
383.2,384.3,S
384.2,384.3,I
387.9,388.6,S
397.5,403.1,S
404.5,418.2,S
419.0,420.1,I
419.4,420.3,S
420.8,426.5,I
425.2,429.6,S
430.7,449.0,S
449.3,449.7,I
450.0,454.0,S
450.5,450.9,I
454.7,457.3,S
454.8,455.1,I
457.9,527.5,S
528.9,529.0,S
529.7,542.8,I
531.0,532.7,S
535.5,536.4,S
539.2,539.2,S
544.2,551.6,S
552.8,561.9,S
561.9,572.8,I
573.9,579.1,I
580.4,587.0,I
584.9,586.0,S
587.5,589.2,S
594.0,594.6,S
596.3,619.7,S
616.7,617.0,I
620.4,624.0,I
