start,stop,speaker
0.5,8.8,I
10.5,11.2,S
13.9,15.4,S
16.8,18.4,S
20.4,25.4,S
23.0,23.8,I
28.1,28.7,I
31.9,38.7,S
34.8,35.1,I
36.4,36.7,I
39.5,46.5,S
47.7,48.9,S
47.8,48.0,I
50.6,61.5,S
57.8,58.1,I
60.3,61.0,I
62.8,64.5,S
66.7,68.5,S
70.8,83.6,S
84.7,85.5,S
88.5,95.0,S
96.3,117.4,S
117.0,143.0,I
144.6,145.1,S
148.5,150.5,S
151.6,155.1,S
157.5,216.0,S
181.7,182.0,I
206.5,207.2,I
210.5,213.0,I
216.9,218.0,S
218.0,219.2,I
220.6,222.4,I
226.0,226.7,S
228.6,231.9,S
235.4,236.4,S
240.7,247.5,S
248.7,252.1,S
257.1,258.2,I
257.5,261.0,S
263.1,266.5,S
268.2,270.7,S
270.7,275.1,I
274.3,297.2,S
296.6,304.6,I
305.6,312.7,I
313.8,314.5,I
314.5,325.9,S
327.1,344.0,S
345.5,352.0,S
353.1,360.6,S
361.6,363.5,S
365.1,369.4,I
365.9,367.0,S
368.7,377.0,S
377.0,385.6,I
386.4,398.5,S
399.5,400.1,S
400.1,403.1,I
408.5,427.4,S
409.9,410.7,I
413.0,413.1,I
415.0,415.1,I
416.7,417.5,I
420.6,422.0,I
428.0,430.4,S
428.9,430.8,I
431.1,443.7,S
433.0,433.1,I
444.8,445.4,S
446.4,457.1,S
458.3,467.5,S
467.5,467.7,I
469.1,476.8,I
476.8,477.7,S
480.6,500.0,S
501.9,502.1,S
502.1,509.2,I
510.6,511.6,S
515.8,534.3,S
535.7,549.2,S
551.6,553.3,S
553.3,556.0,I
559.8,562.0,S
563.1,565.2,S
566.5,571.6,S
568.7,569.2,I
574.1,577.6,S
580.7,584.5,S
589.2,589.6,S
589.6,595.5,I
595.5,600.5,S
600.5,611.2,I
612.6,641.1,I
640.0,640.4,S
641.8,645.9,I
