start,stop,speaker
0.5,23.8,I
23.8,26.5,S
30.0,39.5,I
41.1,45.6,S
44.1,44.8,I
46.0,51.8,I
51.2,53.2,S
53.1,53.2,I
55.1,57.3,I
58.3,61.6,S
63.6,63.9,S
65.6,76.0,S
66.6,67.5,I
80.0,97.0,S
90.6,91.8,I
98.1,104.6,S
103.4,105.4,I
105.8,107.2,S
108.9,110.5,S
114.8,136.6,S
127.9,128.0,I
136.6,138.1,I
137.4,166.8,S
167.9,170.5,S
174.5,183.5,S
187.2,207.1,S
209.0,210.3,S
211.5,216.9,S
219.7,236.3,S
238.2,242.0,S
243.1,253.6,S
254.7,255.4,S
257.3,258.7,S
259.8,272.9,S
273.9,275.1,S
282.2,283.3,S
284.7,294.6,S
296.4,308.8,S
309.9,312.5,S
312.8,313.1,I
313.1,315.1,S
314.1,314.3,I
315.8,334.5,S
334.8,335.2,I
335.8,341.6,S
342.7,353.7,S
351.1,351.3,I
355.8,362.1,S
363.2,364.2,S
365.5,368.6,S
370.1,376.5,S
380.5,380.5,S
384.5,386.7,S
387.9,388.7,S
389.9,397.3,S
398.4,401.2,S
404.9,413.8,S
408.1,409.5,I
414.6,425.7,S
427.5,430.5,S
433.1,449.1,S
450.9,456.4,S
458.0,459.8,S
464.1,465.4,S
468.9,469.5,S
470.8,472.0,S
473.0,479.0,S
480.5,490.0,S
488.1,488.3,I
490.6,505.4,S
507.6,510.2,S
511.6,523.4,S
513.0,514.3,I
524.3,525.5,S
527.9,531.3,S
532.5,539.5,S
547.0,569.2,S
573.9,575.3,I
574.0,582.0,S
577.8,580.1,I
