start,stop,speaker
0.5,4.1,SPEAKER_00
5.2,7.8,SPEAKER_00
9.1,14.3,SPEAKER_00
15.4,22.0,SPEAKER_00
23.1,33.3,SPEAKER_00
34.7,41.6,SPEAKER_00
42.7,43.6,SPEAKER_00
44.9,49.0,SPEAKER_00
50.6,50.7,SPEAKER_00
52.6,70.9,SPEAKER_00
72.7,83.1,SPEAKER_00
84.6,89.4,SPEAKER_00
91.7,95.6,SPEAKER_00
96.8,105.1,SPEAKER_00
107.2,119.6,SPEAKER_00
121.0,125.5,SPEAKER_00
126.9,127.3,SPEAKER_00
128.4,129.0,SPEAKER_00
131.0,134.8,SPEAKER_00
136.0,137.7,SPEAKER_00
138.8,143.4,SPEAKER_00
144.8,147.4,SPEAKER_00
149.0,150.2,SPEAKER_00
151.5,154.5,SPEAKER_00
155.9,158.0,SPEAKER_00
159.2,165.1,SPEAKER_00
166.4,167.7,SPEAKER_00
169.0,179.8,SPEAKER_00
181.0,188.3,SPEAKER_00
193.4,194.9,SPEAKER_00
196.4,205.1,SPEAKER_00
206.5,208.2,SPEAKER_00
209.7,212.8,SPEAKER_00
214.1,219.8,SPEAKER_00
221.3,226.9,SPEAKER_00
228.3,231.8,SPEAKER_00
233.3,240.5,SPEAKER_00
241.7,243.2,SPEAKER_00
245.0,252.0,SPEAKER_00
253.4,257.5,SPEAKER_00
258.8,270.2,SPEAKER_00
274.2,277.8,SPEAKER_00
279.5,287.5,SPEAKER_00
289.1,314.4,SPEAKER_00
316.1,325.8,SPEAKER_00
326.8,336.6,SPEAKER_00
337.7,352.5,SPEAKER_00
353.8,354.3,SPEAKER_00
355.5,365.3,SPEAKER_00
366.8,371.6,SPEAKER_00
372.9,391.7,SPEAKER_00
392.9,412.2,SPEAKER_00
413.2,417.2,SPEAKER_00
418.2,424.8,SPEAKER_00
425.8,431.5,SPEAKER_00
432.5,433.1,SPEAKER_00
434.8,440.3,SPEAKER_00
441.5,445.9,SPEAKER_00
448.3,449.1,SPEAKER_00
451.9,459.8,SPEAKER_00
461.6,473.4,SPEAKER_00
476.2,476.9,SPEAKER_00
479.2,499.9,SPEAKER_00
502.1,504.6,SPEAKER_00
505.6,520.9,SPEAKER_00
522.7,526.3,SPEAKER_00
527.6,533.7,SPEAKER_00
534.8,542.6,SPEAKER_00
543.7,549.0,SPEAKER_00
550.1,551.5,SPEAKER_00
552.7,556.5,SPEAKER_00
557.5,561.5,SPEAKER_00
562.7,571.8,SPEAKER_00
573.6,584.3,SPEAKER_00
585.3,585.7,SPEAKER_00
586.8,592.0,SPEAKER_00
594.1,612.5,SPEAKER_00
613.8,620.5,SPEAKER_00
621.7,631.6,SPEAKER_00
632.7,640.5,SPEAKER_00
641.5,655.2,SPEAKER_00
656.2,658.4,SPEAKER_00
660.7,661.9,SPEAKER_00
